date,visits,donations,average_donation_value,region
2023-05-05,901,875,187.86,North America
2023-08-01,849,504,143.4,Europe
2023-09-23,113,108,199.42,South America
2023-12-31,802,662,117.41,Africa
2023-01-21,565,442,87.92,Australia
2023-12-16,557,100,54.64,Europe
2023-03-24,852,478,76.63,Australia
2023-05-05,875,535,120.87,Australia
2023-09-10,196,81,102.47,Africa
2023-08-20,168,69,69.88,South America
2023-11-25,514,237,68.47,Europe
2023-05-04,157,0,0.0,Australia
2023-07-22,923,290,189.42,South America
2023-03-22,191,97,93.64,North America
2023-11-23,358,125,7.84,Europe
2023-11-26,168,134,34.13,North America
2023-03-30,664,381,60.73,Africa
2023-12-26,327,89,146.76,South America
2023-07-05,237,106,44.17,Australia
2023-02-13,698,225,101.26,Africa
2023-05-25,27,15,98.61,Africa
2023-07-04,58,11,68.33,Australia
2023-12-04,179,30,42.5,Africa
2023-04-11,457,353,107.98,Africa
2023-02-23,539,235,114.3,Africa
2023-04-27,247,57,118.4,North America
2023-04-10,373,370,37.33,Europe
2023-10-02,788,156,82.39,Africa
2023-12-11,840,628,107.11,Asia
2023-05-18,454,23,33.75,South America
2023-03-20,761,608,137.39,Europe
2023-12-21,67,2,147.4,Africa
2023-12-22,425,57,64.84,North America
2023-10-31,844,453,125.66,Australia
2023-02-26,588,89,9.58,Africa
2023-08-02,635,497,159.22,Africa
2023-11-25,469,361,152.69,Australia
2023-07-21,918,102,92.69,South America
2023-02-22,553,237,14.63,Australia
2023-08-21,17,17,105.29,North America
2023-05-09,817,808,191.04,Africa
2023-12-20,344,326,159.8,Europe
2023-08-30,701,375,54.29,Australia
2023-04-12,638,76,37.78,North America
2023-11-24,175,33,33.83,Australia
2023-06-01,16,7,35.84,Europe
2023-07-27,933,773,173.65,South America
2023-11-10,597,320,145.96,South America
2023-09-03,222,222,153.59,Asia
2023-08-15,137,91,108.31,South America
2023-11-04,14,10,50.08,Africa
2023-10-25,926,197,69.31,South America
2023-11-11,865,154,20.22,Africa
2023-09-13,484,483,123.19,Africa
2023-07-13,741,442,49.84,North America
2023-04-09,776,90,193.86,Asia
2023-06-14,678,255,128.85,Europe
2023-04-01,42,29,191.57,Europe
2023-08-15,237,145,105.69,South America
2023-11-28,731,597,166.41,Australia
2023-04-07,578,280,25.38,Australia
2023-10-05,674,668,58.87,Africa
2023-02-21,599,223,11.88,Africa
2023-04-10,308,151,96.31,Asia
2023-06-22,160,17,11.03,South America
2023-07-09,568,429,50.94,Australia
2023-07-16,258,186,126.66,Australia
2023-12-16,84,37,117.96,North America
2023-05-28,471,313,85.7,Asia
2023-11-22,525,213,148.41,Australia
2023-10-03,153,101,26.14,South America
2023-07-04,824,670,16.39,Asia
2023-03-29,131,91,76.09,Africa
2023-05-25,79,34,178.03,South America
2023-11-02,500,137,191.82,Africa
2023-07-01,19,8,135.56,Africa
2023-04-26,453,274,78.53,Africa
2023-04-18,279,273,43.77,South America
2023-10-26,355,148,63.89,South America
2023-01-31,137,63,115.37,Asia
2023-05-27,663,47,147.97,Australia
2023-08-27,761,169,93.2,South America
2023-09-29,430,186,8.65,Asia
2023-07-27,343,194,168.69,Europe
2023-02-24,114,46,85.65,Asia
2023-02-09,290,204,87.69,Europe
2023-11-29,816,9,121.02,Africa
2023-07-09,464,428,48.39,Asia
2023-06-24,526,11,134.98,Asia
2023-04-27,361,140,116.36,Australia
2023-08-28,116,88,54.25,Australia
2023-01-08,802,16,57.67,Australia
2023-08-31,702,260,55.45,Asia
2023-08-22,583,429,31.04,Australia
2023-03-16,139,115,58.16,Africa
2023-07-27,27,21,152.4,Africa
2023-05-17,574,489,94.53,South America
2023-01-24,324,111,13.7,Asia
2023-07-08,927,378,125.39,North America
2023-11-01,745,648,111.06,Europe
2023-01-26,107,83,73.34,Asia
2023-06-08,100,49,126.06,Africa
2023-12-05,876,731,82.35,Europe
2023-05-24,589,533,187.6,South America
2023-08-10,613,181,60.26,Africa
2023-08-04,600,276,141.98,Asia
2023-02-04,10,8,132.61,South America
2023-01-12,416,191,105.02,Europe
2023-12-06,61,58,14.01,Africa
2023-04-10,538,74,93.39,North America
2023-12-04,668,193,198.97,Asia
2023-04-20,217,145,191.26,South America
2023-05-11,684,502,57.68,Asia
2023-08-15,474,336,181.36,Europe
2023-07-13,789,463,42.3,South America
2023-06-30,189,91,38.89,Europe
2023-11-22,67,46,100.08,South America
2023-01-17,83,78,88.54,Australia
2023-12-27,267,166,50.31,South America
2023-10-11,404,244,193.35,South America
2023-04-26,979,961,171.94,North America
2023-02-27,209,176,75.55,Australia
2023-04-17,50,27,189.18,South America
2023-01-11,826,317,198.89,Asia
2023-07-09,981,889,33.82,South America
2023-12-22,626,568,176.51,Africa
2023-01-14,891,195,42.59,Europe
2023-08-17,810,373,5.27,Africa
2023-02-22,436,17,168.46,Australia
2023-10-08,860,698,160.18,Europe
2023-12-13,203,40,167.08,Europe
2023-12-02,736,103,160.42,South America
2023-03-28,208,16,100.75,Asia
2023-05-13,414,24,70.6,Africa
2023-05-12,509,429,28.59,Australia
2023-05-28,497,349,184.5,North America
2023-09-04,578,78,60.87,Europe
2023-02-06,71,34,29.15,Africa
2023-12-18,831,73,103.4,Australia
2023-12-28,153,17,82.67,Asia
2023-08-12,349,168,141.76,South America
2023-02-25,406,331,30.23,South America
2023-06-16,373,246,45.97,Australia
2023-06-17,318,164,155.42,Africa
2023-01-17,889,427,52.35,Asia
2023-08-24,851,607,199.66,Australia
2023-05-24,145,36,76.79,Europe
2023-10-07,118,43,91.8,North America
2023-08-07,191,39,85.49,Asia
2023-01-31,109,82,154.38,South America
2023-08-21,402,381,6.09,Asia
2023-01-14,794,60,60.36,Africa
2023-01-30,386,179,115.55,Europe
2023-05-27,153,152,30.38,Asia
2023-03-28,56,38,115.52,Australia
2023-09-09,246,166,151.93,South America
2023-04-23,527,87,109.58,Asia
2023-03-29,896,163,146.52,Australia
2023-05-19,318,40,179.25,North America
2023-04-28,787,504,11.32,Asia
2023-01-17,645,311,51.24,South America
2023-03-22,370,349,114.64,South America
2023-04-26,726,497,42.86,Asia
2023-03-11,751,233,88.81,Africa
2023-05-18,506,276,123.79,Europe
2023-10-05,915,69,82.57,North America
2023-10-23,671,135,180.14,Australia
2023-12-12,295,79,51.21,Africa
2023-03-05,729,650,196.9,Australia
2023-06-29,485,303,59.54,Africa
2023-11-03,599,176,147.88,Asia
2023-06-27,511,342,133.94,North America
2023-08-03,705,345,95.29,South America
2023-08-25,33,0,0.0,South America
2023-01-15,41,5,41.68,North America
2023-01-22,547,345,65.25,Asia
2023-04-02,880,800,111.69,Europe
2023-04-11,396,214,84.0,Africa
2023-12-10,818,498,186.4,North America
2023-04-14,529,40,98.99,North America
2023-07-01,862,551,42.81,Asia
2023-08-17,919,412,109.16,Africa
2023-11-20,321,134,63.57,North America
2023-10-23,723,237,148.95,Africa
2023-07-21,586,319,189.2,Europe
2023-12-19,211,83,77.28,Asia
2023-08-11,997,894,30.01,South America
2023-10-29,177,5,33.87,Europe
2023-10-29,976,846,48.42,Europe
2023-03-24,528,365,167.87,Africa
2023-06-04,388,352,110.82,Asia
2023-06-24,211,169,137.89,Australia
2023-06-12,375,96,97.93,Australia
2023-09-25,219,201,185.92,Asia
2023-06-02,429,396,142.85,South America
2023-03-27,130,13,158.85,Europe
2023-05-05,366,222,61.16,North America
2023-12-16,344,197,182.79,Europe
2023-09-07,349,238,69.66,Africa
2023-07-06,603,178,163.91,Australia
2023-12-05,355,353,164.97,Australia
2023-01-11,756,184,126.39,Asia
2023-09-28,521,386,80.68,Australia
2023-10-17,65,53,180.33,Europe
2023-02-21,981,43,69.01,North America
2023-06-08,933,847,149.27,Europe
2023-04-16,71,17,134.76,Africa
2023-03-29,654,347,95.41,Australia
2023-08-23,403,149,50.08,South America
2023-07-08,681,160,183.93,South America
2023-03-31,178,68,9.76,Africa
2023-08-25,69,59,98.33,Europe
2023-08-13,881,365,103.41,North America
2023-07-14,565,414,20.44,Europe
2023-12-12,448,290,43.54,North America
2023-10-01,299,161,134.4,Australia
2023-05-20,581,463,153.75,Asia
2023-05-15,111,40,179.38,Australia
2023-12-07,855,362,18.27,South America
2023-07-26,712,608,73.16,Asia
2023-06-17,839,77,5.4,North America
2023-05-04,288,129,127.82,Asia
2023-03-15,598,553,42.98,Australia
2023-02-28,330,10,102.87,Europe
2023-04-17,773,567,24.24,South America
2023-02-07,901,251,70.96,Asia
2023-04-20,454,387,62.48,Australia
2023-01-30,953,183,95.6,Africa
2023-09-22,848,742,142.72,Australia
2023-11-29,167,25,134.8,South America
2023-10-19,78,10,40.89,South America
2023-03-02,443,89,56.33,Africa
2023-06-05,499,81,163.22,Africa
2023-05-03,939,147,9.77,Africa
2023-09-16,453,98,186.95,Europe
2023-09-02,651,641,99.24,North America
2023-12-27,332,71,28.55,Europe
2023-04-21,83,60,118.37,Africa
2023-10-08,11,1,14.04,Australia
2023-02-07,850,429,7.62,South America
2023-08-06,743,666,133.87,Africa
2023-08-25,590,174,164.93,North America
2023-03-06,739,25,90.31,Africa
2023-12-08,209,27,98.67,Europe
2023-11-23,797,283,8.61,South America
2023-08-26,423,11,114.2,Africa
2023-10-28,845,784,31.76,Europe
2023-03-22,413,219,138.05,Europe
2023-03-05,213,75,94.61,Australia
2023-11-08,919,748,111.64,North America
2023-08-12,546,516,27.28,Asia
2023-12-20,774,336,42.19,Australia
2023-05-05,132,73,71.63,Africa
2023-03-28,537,48,36.04,Africa
2023-01-28,318,242,124.05,Africa
2023-11-15,123,111,98.82,South America
2023-08-15,598,263,189.27,Africa
2023-10-29,603,139,186.64,South America
2023-12-23,467,366,141.12,Africa
2023-09-23,803,553,156.31,Africa
2023-11-10,252,171,27.52,North America
2023-11-29,825,445,96.25,Africa
2023-01-21,910,426,100.07,South America
2023-07-11,175,145,89.54,South America
2023-11-03,155,61,108.24,Asia
2023-12-08,756,539,168.95,South America
2023-06-28,207,170,64.77,Australia
2023-04-15,701,596,70.36,South America
2023-05-21,640,375,77.84,North America
2023-11-06,621,216,93.14,Australia
2023-01-01,25,11,163.52,Africa
2023-05-30,710,211,25.29,South America
2023-05-17,404,317,123.68,Europe
2023-08-20,978,382,76.81,Australia
2023-03-07,358,102,190.38,North America
2023-09-08,231,226,84.16,Europe
2023-10-12,177,174,156.4,North America
2023-11-13,581,209,81.97,Africa
2023-03-22,438,53,54.59,Australia
2023-09-04,233,109,88.18,Asia
2023-01-16,145,37,31.97,Asia
2023-04-21,993,164,120.6,South America
2023-11-16,152,64,90.8,South America
2023-03-29,950,711,32.0,North America
2023-08-11,286,84,135.69,Asia
2023-03-24,940,698,151.82,North America
2023-12-30,470,299,23.19,Africa
2023-03-05,961,881,68.58,Europe
2023-04-07,59,54,54.72,Asia
2023-08-01,505,392,11.87,North America
2023-11-10,540,501,77.61,Australia
2023-10-21,406,109,29.77,Africa
2023-09-22,116,10,94.41,North America
2023-06-13,570,165,88.0,South America
2023-10-27,421,402,58.65,Africa
2023-03-03,717,190,25.06,North America
2023-05-05,778,669,95.5,South America
2023-06-26,690,284,28.41,Australia
2023-06-18,732,577,91.61,North America
2023-08-15,66,61,67.24,South America
2023-05-13,657,538,162.01,Asia
2023-11-12,830,799,128.02,Asia
2023-07-29,120,38,50.06,Asia
2023-02-05,940,443,156.27,Australia
2023-05-17,949,543,71.71,South America
2023-07-22,608,606,152.47,North America
2023-08-06,772,107,105.56,North America
2023-02-24,732,76,30.16,Europe
2023-05-30,846,222,189.76,Europe
2023-03-09,700,159,93.87,Europe
2023-05-02,848,341,111.59,Asia
2023-11-22,244,65,152.36,Asia
2023-05-30,265,122,80.33,Africa
2023-10-07,128,71,161.7,Europe
2023-01-25,789,139,134.05,Europe
2023-04-01,773,649,154.42,Africa
2023-12-19,884,869,125.16,Europe
2023-08-13,39,37,53.42,North America
2023-09-25,371,207,71.75,South America
2023-02-07,739,201,16.58,South America
2023-09-29,810,49,8.34,South America
2023-03-04,801,391,141.2,South America
2023-07-25,773,378,177.34,Australia
2023-03-10,333,76,56.37,North America
2023-07-29,256,44,22.39,Asia
2023-02-19,941,27,83.56,Asia
2023-06-13,625,86,142.25,South America
2023-08-16,542,511,113.18,South America
2023-06-04,121,61,127.8,Europe
2023-06-12,592,135,68.55,Australia
2023-04-18,841,47,130.77,Asia
2023-12-01,931,30,116.11,Europe
2023-01-07,679,668,52.09,South America
2023-08-13,780,527,131.27,Asia
2023-07-09,295,191,191.46,Europe
2023-12-25,236,144,126.63,Europe
2023-01-12,391,253,20.11,Asia
2023-09-07,474,276,199.72,Australia
2023-12-27,992,726,159.06,South America
2023-08-27,621,219,100.27,Asia
2023-04-15,89,71,141.22,Australia
2023-04-23,861,685,101.21,Asia
2023-09-14,465,310,132.28,Asia
2023-12-05,952,477,140.26,North America
2023-07-23,221,119,98.39,North America
2023-04-06,836,635,168.9,Asia
2023-08-11,606,51,13.74,South America
2023-07-21,309,87,175.87,North America
2023-07-31,138,9,69.84,South America
2023-09-26,784,231,30.52,Australia
2023-10-14,201,185,11.45,Africa
2023-11-29,314,149,162.9,Africa
2023-07-25,537,142,143.56,Africa
2023-01-16,840,183,117.88,Australia
2023-03-07,910,726,151.27,South America
2023-10-21,264,11,64.41,North America
2023-10-08,288,233,183.85,Australia
2023-11-05,620,125,149.07,Australia
2023-12-14,247,171,60.98,North America
2023-10-06,760,42,72.59,Australia
2023-09-28,152,78,136.42,Africa
2023-05-31,985,199,23.09,Africa
2023-05-16,664,191,130.08,South America
2023-09-04,28,23,48.43,North America
2023-06-30,235,41,122.44,Europe
2023-09-24,244,217,22.08,Australia
2023-12-15,865,375,83.79,Australia
2023-08-09,314,118,39.63,Africa
2023-07-04,296,30,80.33,Australia
2023-11-08,306,234,135.4,Australia
2023-02-15,557,105,171.53,Europe
2023-05-21,258,222,187.23,Australia
2023-02-23,343,101,175.35,Asia
2023-05-29,469,61,190.91,South America
2023-08-11,357,250,110.3,South America
2023-06-10,13,10,14.69,Europe
2023-04-13,269,65,169.6,Asia
2023-08-06,755,302,60.92,South America
2023-04-07,585,48,144.46,North America
2023-01-12,421,369,142.41,South America
2023-05-04,814,322,173.45,Africa
2023-04-23,249,144,53.59,Asia
2023-03-14,655,478,116.17,South America
2023-03-03,363,73,29.07,South America
2023-05-11,461,11,78.7,Australia
2023-07-17,699,386,121.74,Australia
2023-06-10,104,35,166.85,Australia
2023-06-09,238,62,93.77,Asia
2023-08-21,521,499,181.54,Asia
2023-01-12,945,859,194.56,Australia
2023-01-28,323,95,176.1,North America
2023-03-05,925,67,10.67,Africa
2023-03-29,208,68,15.38,Asia
2023-07-06,63,0,0.0,Europe
2023-03-26,435,392,109.49,Australia
2023-05-03,245,12,72.5,Africa
2023-08-22,278,88,111.03,Asia
2023-04-18,812,769,148.36,South America
2023-07-09,120,48,68.41,South America
2023-03-16,179,93,38.38,South America
2023-06-14,524,474,114.48,Australia
2023-11-30,226,190,89.01,Africa
2023-08-31,840,743,31.95,Europe
2023-06-08,233,104,108.12,South America
2023-07-11,699,639,104.79,North America
2023-08-13,879,160,81.02,North America
2023-02-21,923,168,127.15,North America
2023-05-18,889,155,90.61,Africa
2023-08-26,708,40,129.09,South America
2023-10-24,139,94,83.86,Asia
2023-05-16,646,477,11.0,South America
2023-05-22,503,303,54.24,Africa
2023-06-28,84,26,181.36,North America
2023-05-31,210,197,111.46,Europe
2023-12-08,42,22,195.71,Asia
2023-03-05,501,153,126.79,Asia
2023-04-26,88,48,42.26,North America
2023-08-29,760,699,51.52,Asia
2023-05-11,946,380,36.97,North America
2023-12-01,480,234,191.83,Africa
2023-04-06,562,214,163.62,Europe
2023-02-19,182,28,102.04,South America
2023-01-21,74,10,106.17,Africa
2023-10-10,885,738,66.41,South America
2023-04-25,142,61,159.41,Africa
2023-05-14,295,181,181.1,Africa
2023-10-11,809,211,61.08,Australia
2023-10-02,758,165,117.46,Asia
2023-01-22,743,168,176.73,South America
2023-08-02,596,151,7.63,Africa
2023-10-22,946,483,142.94,Australia
2023-12-07,448,196,61.56,South America
2023-08-21,12,8,47.57,Europe
2023-11-20,392,159,191.98,Europe
2023-04-29,317,229,140.01,South America
2023-08-26,462,182,57.88,Africa
2023-12-29,641,149,94.05,Europe
2023-12-14,94,12,80.87,Africa
2023-05-12,865,592,46.68,Europe
2023-05-03,905,16,189.59,North America
2023-10-20,10,8,53.91,Africa
2023-11-14,348,268,172.91,Asia
2023-03-22,204,183,10.34,Australia
2023-06-30,56,56,173.64,Africa
2023-10-17,484,117,157.86,Africa
2023-04-15,222,117,170.03,North America
2023-05-13,397,256,35.2,South America
2023-01-19,970,688,136.52,Africa
2023-02-10,731,446,21.99,South America
2023-11-11,401,38,164.55,Europe
2023-03-20,42,40,35.59,Africa
2023-08-31,910,21,115.7,South America
2023-09-01,309,108,16.34,Asia
2023-11-17,938,489,21.71,Australia
2023-06-25,507,203,114.31,Australia
2023-07-15,639,520,80.67,Europe
2023-09-25,946,446,183.31,Africa
2023-05-02,71,41,189.61,Europe
2023-11-19,452,403,155.25,South America
2023-10-03,876,725,194.93,Asia
2023-05-16,880,689,69.36,Europe
2023-06-30,78,26,42.44,Africa
2023-04-15,594,515,102.91,North America
2023-03-17,460,392,115.7,Australia
2023-06-25,881,31,80.06,Europe
2023-03-09,371,256,5.76,Europe
2023-07-22,466,264,104.97,Africa
2023-02-14,843,5,118.29,North America
2023-05-24,202,173,166.94,South America
2023-08-20,191,93,112.16,Europe
2023-11-15,662,126,118.06,South America
2023-06-03,894,174,152.38,North America
2023-02-21,455,359,111.77,Africa
2023-02-19,501,361,53.99,North America
2023-07-14,365,294,42.45,Australia
2023-01-24,290,47,86.6,Africa
2023-08-27,550,118,31.44,South America
2023-10-22,412,309,40.14,Europe
2023-02-07,343,87,185.45,Europe
2023-05-08,463,149,8.12,South America
2023-12-03,830,262,99.52,South America
2023-05-24,237,73,98.53,South America
2023-11-04,236,7,151.54,Australia
2023-03-13,318,18,136.84,Asia
2023-08-27,696,262,173.31,South America
2023-03-23,969,333,115.45,South America
2023-03-14,282,252,75.1,North America
2023-01-27,598,415,43.87,Europe
2023-02-08,500,116,98.16,Australia
2023-12-11,388,328,188.6,Africa
2023-09-23,600,337,24.83,Australia
2023-05-21,990,568,191.2,Africa
2023-02-26,716,169,51.41,Europe
2023-01-17,449,348,30.23,North America
2023-11-02,78,18,74.58,Asia
2023-08-23,514,85,32.11,Europe
2023-08-01,852,441,91.47,North America
2023-04-12,67,20,6.58,Africa
2023-02-17,207,31,37.1,Africa
2023-11-02,136,104,72.55,Asia
2023-09-21,180,44,26.01,Europe
2023-07-08,161,89,11.04,South America
2023-05-30,743,273,134.03,Asia
2023-02-20,155,50,176.54,Asia
2023-02-10,361,188,195.14,Asia
2023-04-15,419,238,104.7,Australia
2023-08-01,904,121,122.26,Australia
2023-01-01,452,97,11.94,Europe
2023-03-11,595,420,9.89,Europe
2023-05-31,392,190,56.64,Australia
2023-06-12,395,84,45.69,South America
2023-07-29,966,363,189.15,South America
2023-03-04,599,497,24.12,Asia
2023-03-23,990,89,111.26,Africa
2023-01-03,954,730,42.17,Africa
2023-12-18,787,374,60.87,Asia
2023-06-03,756,742,5.35,North America
2023-01-08,512,169,112.62,Europe
2023-01-26,219,26,135.73,North America
2023-11-14,275,58,68.23,North America
2023-04-28,177,16,102.52,Asia
2023-01-22,85,26,24.31,Africa
2023-02-14,727,379,178.75,Africa
2023-02-06,934,456,12.01,Australia
2023-02-02,203,84,106.39,Australia
2023-10-19,509,360,142.34,Africa
2023-09-25,188,46,160.31,Asia
2023-08-02,352,319,120.78,Europe
2023-08-19,637,92,117.01,Europe
2023-07-27,282,122,51.39,Asia
2023-04-17,336,257,194.0,North America
2023-03-22,134,13,13.62,Europe
2023-12-23,703,160,173.31,Europe
2023-11-17,158,105,185.49,South America
2023-02-24,50,24,8.29,Europe
2023-07-23,244,172,139.28,North America
