date,visits,donations,average_donation_value,region,total_donation_value,quarter,month,day_of_week
2023-06-24,618,403,62.04,Australia,25002.12,2023Q2,6,Saturday
2023-06-10,710,420,43.95,South America,18459.0,2023Q2,6,Saturday
2023-04-14,874,437,84.3,Asia,36839.1,2023Q2,4,Friday
2023-03-25,124,11,162.15,North America,1783.65,2023Q1,3,Saturday
2023-08-13,74,35,22.35,Asia,782.25,2023Q3,8,Sunday
2023-11-20,435,32,45.96,North America,1470.72,2023Q4,11,Monday
2023-04-15,66,27,73.8,Australia,1992.6,2023Q2,4,Saturday
2023-06-05,113,46,86.44,South America,3976.24,2023Q2,6,Monday
2023-12-11,580,367,156.22,Asia,57332.74,2023Q4,12,Monday
2023-07-03,702,491,128.68,Asia,63181.880000000005,2023Q3,7,Monday
2023-08-25,860,806,180.38,North America,145386.28,2023Q3,8,Friday
2023-07-16,107,84,189.78,North America,15941.52,2023Q3,7,Sunday
2023-08-29,373,343,37.86,Asia,12985.98,2023Q3,8,Tuesday
2023-01-05,397,86,162.51,Australia,13975.859999999999,2023Q1,1,Thursday
2023-02-24,344,216,68.18,North America,14726.880000000001,2023Q1,2,Friday
2023-04-07,396,82,37.79,Europe,3098.7799999999997,2023Q2,4,Friday
2023-09-15,32,2,148.61,Africa,297.22,2023Q3,9,Friday
2023-10-07,968,511,52.85,Australia,27006.350000000002,2023Q4,10,Saturday
2023-05-02,455,366,89.98,Europe,32932.68,2023Q2,5,Tuesday
2023-02-01,376,312,172.83,Asia,53922.96000000001,2023Q1,2,Wednesday
2023-06-11,15,11,116.09,Australia,1276.99,2023Q2,6,Sunday
2023-07-15,215,196,164.95,Asia,32330.199999999997,2023Q3,7,Saturday
2023-03-23,776,716,129.24,Asia,92535.84000000001,2023Q1,3,Thursday
2023-05-19,482,251,92.93,Europe,23325.43,2023Q2,5,Friday
2023-08-21,250,2,101.06,Australia,202.12,2023Q3,8,Monday
2023-12-30,461,140,109.89,North America,15384.6,2023Q4,12,Saturday
2023-09-04,885,868,80.47,Europe,69847.95999999999,2023Q3,9,Monday
2023-07-05,873,641,189.33,South America,121360.53000000001,2023Q3,7,Wednesday
2023-12-22,762,465,29.53,Africa,13731.45,2023Q4,12,Friday
2023-08-09,329,118,146.07,North America,17236.26,2023Q3,8,Wednesday
2023-12-08,476,108,152.64,Australia,16485.12,2023Q4,12,Friday
2023-11-16,155,73,20.84,North America,1521.32,2023Q4,11,Thursday
2023-08-17,800,47,101.16,Australia,4754.5199999999995,2023Q3,8,Thursday
2023-11-05,388,320,170.61,South America,54595.200000000004,2023Q4,11,Sunday
2023-06-25,564,226,37.25,Asia,8418.5,2023Q2,6,Sunday
2023-03-15,490,322,39.64,North America,12764.08,2023Q1,3,Wednesday
2023-07-08,650,257,149.98,Europe,38544.86,2023Q3,7,Saturday
2023-05-06,760,215,61.89,South America,13306.35,2023Q2,5,Saturday
2023-03-22,434,299,134.8,Australia,40305.200000000004,2023Q1,3,Wednesday
2023-07-19,692,549,149.85,Europe,82267.65,2023Q3,7,Wednesday
2023-02-23,611,115,141.75,North America,16301.25,2023Q1,2,Thursday
2023-07-26,889,589,6.12,Africa,3604.68,2023Q3,7,Wednesday
2023-10-17,650,353,104.8,Europe,36994.4,2023Q4,10,Tuesday
2023-01-01,271,147,14.53,Africa,2135.91,2023Q1,1,Sunday
2023-12-20,684,115,185.12,Africa,21288.8,2023Q4,12,Wednesday
2023-07-16,142,67,122.6,Australia,8214.199999999999,2023Q3,7,Sunday
2023-11-18,486,239,141.35,North America,33782.65,2023Q4,11,Saturday
2023-07-23,610,497,176.14,Europe,87541.57999999999,2023Q3,7,Sunday
2023-08-02,121,69,184.9,Australia,12758.1,2023Q3,8,Wednesday
2023-09-12,612,104,114.85,South America,11944.4,2023Q3,9,Tuesday
2023-06-11,547,435,93.62,North America,40724.700000000004,2023Q2,6,Sunday
2023-07-27,35,18,138.53,North America,2493.54,2023Q3,7,Thursday
2023-10-17,635,441,58.89,Australia,25970.49,2023Q4,10,Tuesday
2023-11-17,112,92,89.14,North America,8200.88,2023Q4,11,Friday
2023-06-29,190,128,120.6,North America,15436.8,2023Q2,6,Thursday
2023-08-02,613,451,138.67,Asia,62540.16999999999,2023Q3,8,Wednesday
2023-02-07,755,362,20.72,Asia,7500.639999999999,2023Q1,2,Tuesday
2023-04-17,766,462,56.27,Europe,25996.74,2023Q2,4,Monday
2023-06-10,336,12,66.27,North America,795.24,2023Q2,6,Saturday
2023-05-26,137,110,107.68,Africa,11844.800000000001,2023Q2,5,Friday
2023-04-09,986,901,18.12,South America,16326.12,2023Q2,4,Sunday
2023-01-16,19,14,47.22,Australia,661.0799999999999,2023Q1,1,Monday
2023-01-13,528,289,135.46,Asia,39147.94,2023Q1,1,Friday
2023-09-02,916,349,18.69,Europe,6522.81,2023Q3,9,Saturday
2023-10-26,479,315,111.41,North America,35094.15,2023Q4,10,Thursday
2023-09-04,698,596,76.84,North America,45796.64,2023Q3,9,Monday
2023-06-19,904,332,165.53,Asia,54955.96,2023Q2,6,Monday
2023-10-31,192,163,26.16,South America,4264.08,2023Q4,10,Tuesday
2023-11-22,984,788,69.52,Europe,54781.759999999995,2023Q4,11,Wednesday
2023-03-08,628,512,180.37,South America,92349.44,2023Q1,3,Wednesday
2023-05-24,397,246,37.32,North America,9180.72,2023Q2,5,Wednesday
2023-02-07,703,666,84.82,North America,56490.119999999995,2023Q1,2,Tuesday
2023-03-14,616,101,109.13,Asia,11022.13,2023Q1,3,Tuesday
2023-02-27,854,178,108.5,North America,19313.0,2023Q1,2,Monday
2023-07-06,913,187,6.28,Africa,1174.3600000000001,2023Q3,7,Thursday
2023-04-01,48,44,76.81,Africa,3379.6400000000003,2023Q2,4,Saturday
2023-01-03,401,301,150.09,South America,45177.090000000004,2023Q1,1,Tuesday
2023-11-21,873,539,14.15,Asia,7626.85,2023Q4,11,Tuesday
2023-04-18,923,359,6.85,South America,2459.15,2023Q2,4,Tuesday
2023-11-20,66,31,88.02,Europe,2728.62,2023Q4,11,Monday
2023-02-10,284,269,105.81,South America,28462.89,2023Q1,2,Friday
2023-06-07,393,227,54.53,Europe,12378.31,2023Q2,6,Wednesday
2023-10-22,528,486,56.38,South America,27400.68,2023Q4,10,Sunday
2023-12-08,678,234,69.08,Africa,16164.72,2023Q4,12,Friday
2023-07-04,622,592,189.2,North America,112006.4,2023Q3,7,Tuesday
2023-10-21,273,76,151.53,Europe,11516.28,2023Q4,10,Saturday
2023-10-27,601,278,190.24,South America,52886.72,2023Q4,10,Friday
2023-12-15,641,68,44.04,North America,2994.72,2023Q4,12,Friday
2023-06-14,802,602,172.34,Africa,103748.68000000001,2023Q2,6,Wednesday
2023-07-25,862,316,28.5,Australia,9006.0,2023Q3,7,Tuesday
2023-05-18,952,178,29.09,Australia,5178.0199999999995,2023Q2,5,Thursday
2023-10-27,37,28,146.28,Asia,4095.84,2023Q4,10,Friday
2023-03-06,817,727,166.35,North America,120936.45,2023Q1,3,Monday
2023-11-11,259,167,187.33,South America,31284.11,2023Q4,11,Saturday
2023-07-13,14,1,23.75,Europe,23.75,2023Q3,7,Thursday
2023-03-03,651,245,193.79,Asia,47478.549999999996,2023Q1,3,Friday
2023-02-19,541,379,58.57,Australia,22198.03,2023Q1,2,Sunday
2023-11-06,681,374,95.43,North America,35690.82,2023Q4,11,Monday
2023-03-18,920,34,167.69,Africa,5701.46,2023Q1,3,Saturday
2023-05-27,427,133,99.06,Europe,13174.98,2023Q2,5,Saturday
2023-12-28,96,45,119.23,Europe,5365.35,2023Q4,12,Thursday
2023-02-02,704,260,37.13,Asia,9653.800000000001,2023Q1,2,Thursday
2023-11-02,921,711,129.05,Australia,91754.55,2023Q4,11,Thursday
2023-08-09,239,139,175.57,North America,24404.23,2023Q3,8,Wednesday
2023-09-30,965,16,86.3,Asia,1380.8,2023Q3,9,Saturday
2023-10-13,690,633,96.89,Africa,61331.37,2023Q4,10,Friday
2023-10-31,498,266,7.7,North America,2048.2000000000003,2023Q4,10,Tuesday
2023-07-17,678,321,94.38,Australia,30295.98,2023Q3,7,Monday
2023-11-23,759,303,157.44,Australia,47704.32,2023Q4,11,Thursday
2023-09-13,431,300,128.71,South America,38613.0,2023Q3,9,Wednesday
2023-08-31,883,408,69.98,Europe,28551.84,2023Q3,8,Thursday
2023-12-18,192,144,197.56,Asia,28448.64,2023Q4,12,Monday
2023-05-06,672,58,130.42,Europe,7564.36,2023Q2,5,Saturday
2023-03-08,962,839,199.88,North America,167699.32,2023Q1,3,Wednesday
2023-03-29,548,473,183.33,Australia,86715.09000000001,2023Q1,3,Wednesday
2023-06-25,226,123,199.63,North America,24554.489999999998,2023Q2,6,Sunday
2023-01-09,348,207,38.41,Europe,7950.869999999999,2023Q1,1,Monday
2023-06-03,520,145,189.69,Asia,27505.05,2023Q2,6,Saturday
2023-05-26,589,544,74.75,Europe,40664.0,2023Q2,5,Friday
2023-09-23,977,937,128.03,Europe,119964.11,2023Q3,9,Saturday
2023-02-25,147,144,172.83,Asia,24887.52,2023Q1,2,Saturday
2023-03-25,64,52,43.14,Europe,2243.28,2023Q1,3,Saturday
2023-04-05,265,72,59.33,Asia,4271.76,2023Q2,4,Wednesday
2023-09-22,200,106,23.77,South America,2519.62,2023Q3,9,Friday
2023-04-28,500,70,191.93,North America,13435.1,2023Q2,4,Friday
2023-02-25,912,856,94.89,North America,81225.84,2023Q1,2,Saturday
2023-11-28,16,15,56.25,Africa,843.75,2023Q4,11,Tuesday
2023-10-06,535,56,51.23,Africa,2868.8799999999997,2023Q4,10,Friday
2023-06-07,953,267,127.71,North America,34098.57,2023Q2,6,Wednesday
2023-03-01,875,463,17.71,Asia,8199.73,2023Q1,3,Wednesday
2023-05-23,21,19,83.41,North America,1584.79,2023Q2,5,Tuesday
2023-01-02,789,32,150.67,Africa,4821.44,2023Q1,1,Monday
2023-10-30,680,485,48.96,Australia,23745.600000000002,2023Q4,10,Monday
2023-08-10,443,82,161.9,South America,13275.800000000001,2023Q3,8,Thursday
2023-04-26,772,90,194.18,North America,17476.2,2023Q2,4,Wednesday
2023-11-24,992,511,198.67,Australia,101520.37,2023Q4,11,Friday
2023-05-13,833,460,41.41,North America,19048.6,2023Q2,5,Saturday
2023-05-01,603,602,174.42,Australia,105000.84,2023Q2,5,Monday
2023-01-17,71,56,13.56,Australia,759.36,2023Q1,1,Tuesday
2023-07-03,934,771,115.02,South America,88680.42,2023Q3,7,Monday
2023-03-09,200,50,83.13,Australia,4156.5,2023Q1,3,Thursday
2023-10-12,981,290,52.6,Asia,15254.0,2023Q4,10,Thursday
2023-10-13,493,267,176.33,Europe,47080.11,2023Q4,10,Friday
2023-09-06,310,141,12.73,Europe,1794.93,2023Q3,9,Wednesday
2023-02-14,666,250,134.23,South America,33557.5,2023Q1,2,Tuesday
2023-09-14,161,138,158.6,Africa,21886.8,2023Q3,9,Thursday
2023-05-31,797,589,180.5,Australia,106314.5,2023Q2,5,Wednesday
2023-07-21,71,0,0.0,Africa,0.0,2023Q3,7,Friday
2023-01-30,554,419,122.08,Europe,51151.52,2023Q1,1,Monday
2023-04-02,710,613,146.08,Asia,89547.04000000001,2023Q2,4,Sunday
2023-07-03,27,6,81.05,Africa,486.29999999999995,2023Q3,7,Monday
2023-01-11,14,4,184.63,Europe,738.52,2023Q1,1,Wednesday
2023-08-03,27,13,9.43,Australia,122.59,2023Q3,8,Thursday
2023-10-03,999,554,172.13,Asia,95360.02,2023Q4,10,Tuesday
2023-06-06,463,320,39.36,North America,12595.2,2023Q2,6,Tuesday
2023-05-24,486,156,90.32,Europe,14089.919999999998,2023Q2,5,Wednesday
2023-10-24,558,170,126.69,Asia,21537.3,2023Q4,10,Tuesday
2023-03-22,154,29,99.57,South America,2887.5299999999997,2023Q1,3,Wednesday
2023-08-18,61,38,61.51,Australia,2337.38,2023Q3,8,Friday
2023-12-26,462,144,58.51,Africa,8425.44,2023Q4,12,Tuesday
2023-04-21,496,81,20.92,Europe,1694.5200000000002,2023Q2,4,Friday
2023-12-30,874,687,128.36,Asia,88183.32,2023Q4,12,Saturday
2023-09-22,509,306,98.47,Asia,30131.82,2023Q3,9,Friday
2023-01-08,847,671,194.16,South America,130281.36,2023Q1,1,Sunday
2023-07-01,175,22,128.86,Europe,2834.92,2023Q3,7,Saturday
2023-09-28,406,163,146.23,South America,23835.489999999998,2023Q3,9,Thursday
2023-03-04,685,309,56.94,Australia,17594.46,2023Q1,3,Saturday
2023-03-12,348,67,126.66,Europe,8486.22,2023Q1,3,Sunday
2023-10-05,169,36,92.8,Africa,3340.7999999999997,2023Q4,10,Thursday
2023-08-20,379,332,52.6,Africa,17463.2,2023Q3,8,Sunday
2023-03-02,888,855,101.37,North America,86671.35,2023Q1,3,Thursday
2023-05-05,901,875,187.86,North America,164377.5,2023Q2,5,Friday
2023-08-01,849,504,143.4,Europe,72273.6,2023Q3,8,Tuesday
2023-09-23,113,108,199.42,South America,21537.359999999997,2023Q3,9,Saturday
2023-12-31,802,662,117.41,Africa,77725.42,2023Q4,12,Sunday
2023-01-21,565,442,87.92,Australia,38860.64,2023Q1,1,Saturday
2023-12-16,557,100,54.64,Europe,5464.0,2023Q4,12,Saturday
2023-03-24,852,478,76.63,Australia,36629.14,2023Q1,3,Friday
2023-05-05,875,535,120.87,Australia,64665.450000000004,2023Q2,5,Friday
2023-09-10,196,81,102.47,Africa,8300.07,2023Q3,9,Sunday
2023-08-20,168,69,69.88,South America,4821.719999999999,2023Q3,8,Sunday
2023-11-25,514,237,68.47,Europe,16227.39,2023Q4,11,Saturday
2023-05-04,157,0,0.0,Australia,0.0,2023Q2,5,Thursday
2023-07-22,923,290,189.42,South America,54931.799999999996,2023Q3,7,Saturday
2023-03-22,191,97,93.64,North America,9083.08,2023Q1,3,Wednesday
2023-11-23,358,125,7.84,Europe,980.0,2023Q4,11,Thursday
2023-11-26,168,134,34.13,North America,4573.42,2023Q4,11,Sunday
2023-03-30,664,381,60.73,Africa,23138.129999999997,2023Q1,3,Thursday
2023-12-26,327,89,146.76,South America,13061.64,2023Q4,12,Tuesday
2023-07-05,237,106,44.17,Australia,4682.02,2023Q3,7,Wednesday
2023-02-13,698,225,101.26,Africa,22783.5,2023Q1,2,Monday
2023-05-25,27,15,98.61,Africa,1479.15,2023Q2,5,Thursday
2023-07-04,58,11,68.33,Australia,751.63,2023Q3,7,Tuesday
2023-12-04,179,30,42.5,Africa,1275.0,2023Q4,12,Monday
2023-04-11,457,353,107.98,Africa,38116.94,2023Q2,4,Tuesday
2023-02-23,539,235,114.3,Africa,26860.5,2023Q1,2,Thursday
2023-04-27,247,57,118.4,North America,6748.8,2023Q2,4,Thursday
2023-04-10,373,370,37.33,Europe,13812.099999999999,2023Q2,4,Monday
2023-10-02,788,156,82.39,Africa,12852.84,2023Q4,10,Monday
2023-12-11,840,628,107.11,Asia,67265.08,2023Q4,12,Monday
2023-05-18,454,23,33.75,South America,776.25,2023Q2,5,Thursday
2023-03-20,761,608,137.39,Europe,83533.12,2023Q1,3,Monday
2023-12-21,67,2,147.4,Africa,294.8,2023Q4,12,Thursday
2023-12-22,425,57,64.84,North America,3695.88,2023Q4,12,Friday
2023-10-31,844,453,125.66,Australia,56923.979999999996,2023Q4,10,Tuesday
2023-02-26,588,89,9.58,Africa,852.62,2023Q1,2,Sunday
2023-08-02,635,497,159.22,Africa,79132.34,2023Q3,8,Wednesday
2023-11-25,469,361,152.69,Australia,55121.09,2023Q4,11,Saturday
2023-07-21,918,102,92.69,South America,9454.38,2023Q3,7,Friday
2023-02-22,553,237,14.63,Australia,3467.3100000000004,2023Q1,2,Wednesday
2023-08-21,17,17,105.29,North America,1789.93,2023Q3,8,Monday
2023-05-09,817,808,191.04,Africa,154360.32,2023Q2,5,Tuesday
2023-12-20,344,326,159.8,Europe,52094.8,2023Q4,12,Wednesday
2023-08-30,701,375,54.29,Australia,20358.75,2023Q3,8,Wednesday
2023-04-12,638,76,37.78,North America,2871.28,2023Q2,4,Wednesday
2023-11-24,175,33,33.83,Australia,1116.3899999999999,2023Q4,11,Friday
2023-06-01,16,7,35.84,Europe,250.88000000000002,2023Q2,6,Thursday
2023-07-27,933,773,173.65,South America,134231.45,2023Q3,7,Thursday
2023-11-10,597,320,145.96,South America,46707.200000000004,2023Q4,11,Friday
2023-09-03,222,222,153.59,Asia,34096.98,2023Q3,9,Sunday
2023-08-15,137,91,108.31,South America,9856.210000000001,2023Q3,8,Tuesday
2023-11-04,14,10,50.08,Africa,500.79999999999995,2023Q4,11,Saturday
2023-10-25,926,197,69.31,South America,13654.07,2023Q4,10,Wednesday
2023-11-11,865,154,20.22,Africa,3113.8799999999997,2023Q4,11,Saturday
2023-09-13,484,483,123.19,Africa,59500.77,2023Q3,9,Wednesday
2023-07-13,741,442,49.84,North America,22029.280000000002,2023Q3,7,Thursday
2023-04-09,776,90,193.86,Asia,17447.4,2023Q2,4,Sunday
2023-06-14,678,255,128.85,Europe,32856.75,2023Q2,6,Wednesday
2023-04-01,42,29,191.57,Europe,5555.53,2023Q2,4,Saturday
2023-08-15,237,145,105.69,South America,15325.05,2023Q3,8,Tuesday
2023-11-28,731,597,166.41,Australia,99346.77,2023Q4,11,Tuesday
2023-04-07,578,280,25.38,Australia,7106.4,2023Q2,4,Friday
2023-10-05,674,668,58.87,Africa,39325.159999999996,2023Q4,10,Thursday
2023-02-21,599,223,11.88,Africa,2649.2400000000002,2023Q1,2,Tuesday
2023-04-10,308,151,96.31,Asia,14542.81,2023Q2,4,Monday
2023-06-22,160,17,11.03,South America,187.51,2023Q2,6,Thursday
2023-07-09,568,429,50.94,Australia,21853.26,2023Q3,7,Sunday
2023-07-16,258,186,126.66,Australia,23558.76,2023Q3,7,Sunday
2023-12-16,84,37,117.96,North America,4364.5199999999995,2023Q4,12,Saturday
2023-05-28,471,313,85.7,Asia,26824.100000000002,2023Q2,5,Sunday
2023-11-22,525,213,148.41,Australia,31611.329999999998,2023Q4,11,Wednesday
2023-10-03,153,101,26.14,South America,2640.14,2023Q4,10,Tuesday
2023-07-04,824,670,16.39,Asia,10981.300000000001,2023Q3,7,Tuesday
2023-03-29,131,91,76.09,Africa,6924.1900000000005,2023Q1,3,Wednesday
2023-05-25,79,34,178.03,South America,6053.02,2023Q2,5,Thursday
2023-11-02,500,137,191.82,Africa,26279.34,2023Q4,11,Thursday
2023-07-01,19,8,135.56,Africa,1084.48,2023Q3,7,Saturday
2023-04-26,453,274,78.53,Africa,21517.22,2023Q2,4,Wednesday
2023-04-18,279,273,43.77,South America,11949.210000000001,2023Q2,4,Tuesday
2023-10-26,355,148,63.89,South America,9455.72,2023Q4,10,Thursday
2023-01-31,137,63,115.37,Asia,7268.31,2023Q1,1,Tuesday
2023-05-27,663,47,147.97,Australia,6954.59,2023Q2,5,Saturday
2023-08-27,761,169,93.2,South America,15750.800000000001,2023Q3,8,Sunday
2023-09-29,430,186,8.65,Asia,1608.9,2023Q3,9,Friday
2023-07-27,343,194,168.69,Europe,32725.86,2023Q3,7,Thursday
2023-02-24,114,46,85.65,Asia,3939.9,2023Q1,2,Friday
2023-02-09,290,204,87.69,Europe,17888.76,2023Q1,2,Thursday
2023-11-29,816,9,121.02,Africa,1089.18,2023Q4,11,Wednesday
2023-07-09,464,428,48.39,Asia,20710.920000000002,2023Q3,7,Sunday
2023-06-24,526,11,134.98,Asia,1484.78,2023Q2,6,Saturday
2023-04-27,361,140,116.36,Australia,16290.4,2023Q2,4,Thursday
2023-08-28,116,88,54.25,Australia,4774.0,2023Q3,8,Monday
2023-01-08,802,16,57.67,Australia,922.72,2023Q1,1,Sunday
2023-08-31,702,260,55.45,Asia,14417.0,2023Q3,8,Thursday
2023-08-22,583,429,31.04,Australia,13316.16,2023Q3,8,Tuesday
2023-03-16,139,115,58.16,Africa,6688.4,2023Q1,3,Thursday
2023-07-27,27,21,152.4,Africa,3200.4,2023Q3,7,Thursday
2023-05-17,574,489,94.53,South America,46225.17,2023Q2,5,Wednesday
2023-01-24,324,111,13.7,Asia,1520.6999999999998,2023Q1,1,Tuesday
2023-07-08,927,378,125.39,North America,47397.42,2023Q3,7,Saturday
2023-11-01,745,648,111.06,Europe,71966.88,2023Q4,11,Wednesday
2023-01-26,107,83,73.34,Asia,6087.22,2023Q1,1,Thursday
2023-06-08,100,49,126.06,Africa,6176.9400000000005,2023Q2,6,Thursday
2023-12-05,876,731,82.35,Europe,60197.85,2023Q4,12,Tuesday
2023-05-24,589,533,187.6,South America,99990.8,2023Q2,5,Wednesday
2023-08-10,613,181,60.26,Africa,10907.06,2023Q3,8,Thursday
2023-08-04,600,276,141.98,Asia,39186.479999999996,2023Q3,8,Friday
2023-02-04,10,8,132.61,South America,1060.88,2023Q1,2,Saturday
2023-01-12,416,191,105.02,Europe,20058.82,2023Q1,1,Thursday
2023-12-06,61,58,14.01,Africa,812.58,2023Q4,12,Wednesday
2023-04-10,538,74,93.39,North America,6910.86,2023Q2,4,Monday
2023-12-04,668,193,198.97,Asia,38401.21,2023Q4,12,Monday
2023-04-20,217,145,191.26,South America,27732.699999999997,2023Q2,4,Thursday
2023-05-11,684,502,57.68,Asia,28955.36,2023Q2,5,Thursday
2023-08-15,474,336,181.36,Europe,60936.96000000001,2023Q3,8,Tuesday
2023-07-13,789,463,42.3,South America,19584.899999999998,2023Q3,7,Thursday
2023-06-30,189,91,38.89,Europe,3538.9900000000002,2023Q2,6,Friday
2023-11-22,67,46,100.08,South America,4603.68,2023Q4,11,Wednesday
2023-01-17,83,78,88.54,Australia,6906.120000000001,2023Q1,1,Tuesday
2023-12-27,267,166,50.31,South America,8351.460000000001,2023Q4,12,Wednesday
2023-10-11,404,244,193.35,South America,47177.4,2023Q4,10,Wednesday
2023-04-26,979,961,171.94,North America,165234.34,2023Q2,4,Wednesday
2023-02-27,209,176,75.55,Australia,13296.8,2023Q1,2,Monday
2023-04-17,50,27,189.18,South America,5107.860000000001,2023Q2,4,Monday
2023-01-11,826,317,198.89,Asia,63048.13,2023Q1,1,Wednesday
2023-07-09,981,889,33.82,South America,30065.98,2023Q3,7,Sunday
2023-12-22,626,568,176.51,Africa,100257.68,2023Q4,12,Friday
2023-01-14,891,195,42.59,Europe,8305.050000000001,2023Q1,1,Saturday
2023-08-17,810,373,5.27,Africa,1965.7099999999998,2023Q3,8,Thursday
2023-02-22,436,17,168.46,Australia,2863.82,2023Q1,2,Wednesday
2023-10-08,860,698,160.18,Europe,111805.64,2023Q4,10,Sunday
2023-12-13,203,40,167.08,Europe,6683.200000000001,2023Q4,12,Wednesday
2023-12-02,736,103,160.42,South America,16523.26,2023Q4,12,Saturday
2023-03-28,208,16,100.75,Asia,1612.0,2023Q1,3,Tuesday
2023-05-13,414,24,70.6,Africa,1694.3999999999999,2023Q2,5,Saturday
2023-05-12,509,429,28.59,Australia,12265.11,2023Q2,5,Friday
2023-05-28,497,349,184.5,North America,64390.5,2023Q2,5,Sunday
2023-09-04,578,78,60.87,Europe,4747.86,2023Q3,9,Monday
2023-02-06,71,34,29.15,Africa,991.0999999999999,2023Q1,2,Monday
2023-12-18,831,73,103.4,Australia,7548.200000000001,2023Q4,12,Monday
2023-12-28,153,17,82.67,Asia,1405.39,2023Q4,12,Thursday
2023-08-12,349,168,141.76,South America,23815.68,2023Q3,8,Saturday
2023-02-25,406,331,30.23,South America,10006.130000000001,2023Q1,2,Saturday
2023-06-16,373,246,45.97,Australia,11308.619999999999,2023Q2,6,Friday
2023-06-17,318,164,155.42,Africa,25488.879999999997,2023Q2,6,Saturday
2023-01-17,889,427,52.35,Asia,22353.45,2023Q1,1,Tuesday
2023-08-24,851,607,199.66,Australia,121193.62,2023Q3,8,Thursday
2023-05-24,145,36,76.79,Europe,2764.44,2023Q2,5,Wednesday
2023-10-07,118,43,91.8,North America,3947.4,2023Q4,10,Saturday
2023-08-07,191,39,85.49,Asia,3334.1099999999997,2023Q3,8,Monday
2023-01-31,109,82,154.38,South America,12659.16,2023Q1,1,Tuesday
2023-08-21,402,381,6.09,Asia,2320.29,2023Q3,8,Monday
2023-01-14,794,60,60.36,Africa,3621.6,2023Q1,1,Saturday
2023-01-30,386,179,115.55,Europe,20683.45,2023Q1,1,Monday
2023-05-27,153,152,30.38,Asia,4617.76,2023Q2,5,Saturday
2023-03-28,56,38,115.52,Australia,4389.76,2023Q1,3,Tuesday
2023-09-09,246,166,151.93,South America,25220.38,2023Q3,9,Saturday
2023-04-23,527,87,109.58,Asia,9533.46,2023Q2,4,Sunday
2023-03-29,896,163,146.52,Australia,23882.760000000002,2023Q1,3,Wednesday
2023-05-19,318,40,179.25,North America,7170.0,2023Q2,5,Friday
